group,item
1,0
1,899
1,4568
1,892
1,718
1,879
0,1
0,6402
0,8
0,1288
0,11019
0,10510
0,6927
0,537
0,8988
0,8995
0,5158
0,2087
0,2602
0,2603
0,6447
0,52
0,565
0,4667
0,7997
0,5951
0,833
0,3398
0,2126
0,2130
0,10837
0,4185
0,9821
0,100
0,4198
0,10855
0,10862
0,4207
0,4208
0,8046
0,7795
0,2167
0,3706
0,2941
0,7299
0,902
0,9865
0,8332
0,3221
0,9109
0,1697
0,3492
0,10156
0,174
0,7605
0,7864
0,7612
0,9149
0,7870
0,5842
0,8933
0,2022
0,2025
0,11242
0,9452
0,3313
0,7156
0,503
0,3322
0,10747
0,766
2,2
3,3
6,1097
6,4
14,1802
14,3415
14,7
16,6652
16,3238
16,7
17,7
17,8
17,9
17,6666
17,457
19,10
21,219
21,12
23,13
24,13
24,14
25,1929
25,1651
25,2524
25,13
26,13
28,16
28,17
28,15
29,18
30,18
31,1208
31,18
31,764
31,886
32,19
34,21
35,22
36,22
37,24
37,25
37,22
37,23
42,27
43,28
44,28
46,128
46,4673
46,7203
46,7812
46,1573
46,5543
46,663
46,10811
46,30
47,2129
47,3346
47,4819
47,30
47,2663
47,5438
47,31
48,32
48,577
48,5789
48,6825
48,171
48,4819
48,2813
48,9790
48,831
50,2525
50,33
50,34
50,35
50,9061
50,1642
50,651
50,721
50,4530
50,11250
50,5085
50,3135
51,36
52,37
53,26
53,37
54,454
54,1095
54,2825
54,6666
54,202
54,4752
54,466
54,10451
54,851
54,1557
54,2709
54,2262
54,1176
54,538
54,2142
54,3492
54,38
54,1703
54,1580
54,8428
54,9581
54,1199
54,3121
54,626
54,370
54,948
54,822
55,2244
55,38
55,39
55,40
55,41
55,42
55,43
55,44
56,45
57,538
57,45
57,46
57,6463
59,48
61,49
62,448
62,50
64,51
64,52
67,51
67,53
68,4625
68,51
68,54
68,823
70,55
71,55
72,56
72,3960
75,10402
75,2140
75,7535
75,316
75,58
75,59
75,60
75,61
76,3463
76,1321
76,4266
76,284
76,62
77,63
78,64
78,2864
78,63
79,65
79,66
79,67
79,651
79,844
80,68
81,68
82,69
82,1742
82,3127
83,3970
83,613
83,70
83,8619
83,5842
83,408
83,3802
83,189
84,71
85,3749
85,902
85,72
85,4968
85,651
85,9740
85,301
85,300
85,7340
85,308
85,7163
85,8671
94,100
94,101
94,102
94,103
94,74
94,395
94,76
94,568
94,602
105,1819
105,8161
105,1860
105,2217
105,7499
105,109
105,4670
106,2817
106,6402
106,131
106,1410
106,6531
106,8
106,4426
106,717
106,3196
106,337
106,8402
106,218
106,5210
106,2461
106,1182
106,1055
106,287
106,991
106,4140
106,7340
106,1516
106,110
106,10862
106,11127
106,2740
106,694
106,2807
