user,item
6191,0
6191,899
6191,1516
6191,718
6191,879
6191,4976
6191,2832
6191,824
6191,1526
6191,4568
6191,1785
6191,892
8368,0
8368,899
8368,4359
8368,136
8368,4883
8368,3480
8368,806
8368,3767
8368,8516
8368,1097
8368,718
8368,2773
8368,2262
8368,7895
8368,4568
8368,1114
8368,483
8368,879
8368,503
8368,3960
8368,892
8368,11646
17494,9216
17494,1
17494,4612
17494,8
17494,1035
17494,9231
17494,4626
17494,10261
17494,537
17494,538
17494,26
17494,5158
17494,2087
17494,2602
17494,2603
17494,1582
17494,7218
17494,1587
17494,52
17494,565
17494,1081
17494,4667
17494,5180
17494,2619
17494,7740
17494,2111
17494,1598
17494,9794
17494,10824
17494,7240
17494,2123
17494,2125
17494,2126
17494,6734
17494,2129
17494,2130
17494,9297
17494,10837
17494,7767
17494,4185
17494,1627
17494,2140
17494,9821
17494,1119
17494,96
17494,1634
17494,100
17494,4198
17494,10855
17494,3691
17494,10862
17494,4207
17494,4208
17494,1135
17494,1647
17494,7795
17494,3700
17494,2167
17494,3704
17494,1657
17494,3706
17494,5751
17494,2683
17494,1151
17494,639
17494,3201
17494,3202
17494,7299
17494,5253
17494,5254
17494,4742
17494,136
17494,9865
17494,3721
17494,8332
17494,4749
17494,142
17494,1680
17494,3730
17494,8852
17494,3221
17494,3732
17494,152
17494,1182
17494,1183
17494,1697
17494,4769
17494,1188
17494,1190
17494,1705
17494,682
17494,174
17494,1711
17494,178
17494,2228
17494,7864
17494,185
17494,697
17494,7870
17494,2240
17494,1729
17494,2241
17494,9923
17494,10439
17494,7369
17494,201
17494,4299
17494,5836
17494,717
17494,718
17494,202
17494,5842
17494,8402
17494,1236
17494,4819
17494,3798
17494,2262
17494,5337
17494,1753
17494,218
17494,7908
17494,8933
17494,2791
17494,1257
17494,1258
17494,9452
17494,1261
17494,2798
17494,6384
17494,3313
17494,8433
17494,5362
17494,756
17494,757
17494,5874
17494,10488
17494,3322
17494,2811
17494,2813
17494,766
17494,10495
17494,2817
17494,6402
17494,7937
17494,5889
17494,1799
17494,1288
17494,7433
17494,3338
17494,11019
17494,3335
17494,10510
17494,6927
17494,3855
17494,6414
17494,8464
17494,8988
